asn=0    	id=-1  	Main	copying configuration file /home/tegsingh/tsch-sim/examples/star/config.json to output directory /home/tegsingh/tsch-sim/results/2021-08-13_22-02-29/config.json[MAIN]
asn=1412 	id=9   	Node	scanning on channel=25...[NODE]
asn=1412 	id=10  	Node	scanning on channel=20...[NODE]
asn=1412 	id=6   	Node	scanning on channel=26...[NODE]
asn=1412 	id=5   	Node	scanning on channel=20...[NODE]
asn=1412 	id=3   	Node	scanning on channel=25...[NODE]
asn=1477 	id=3   	Node	add neighbor id=1 [NODE]
asn=1477 	id=3   	Node	Add_route called from ensure neighbor
asn=1477 	id=3   	TSCH	joined/associated at 14.77 on receiving an EB packet from 1[NODE]
asn=1477 	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1477 	id=3   	Node	update time source called [NODE]
asn=1477 	id=3   	Main	On new time source method called from NullRouting
asn=1477 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=3   	Node	Start method called from NullRouting for 3
asn=1477 	id=3   	Node	File Read successfully
asn=1477 	id=3   	Node	File loaded into struct successfully
asn=1477 	id=3   	Node	Reading routes for Node 3
asn=1477 	id=3   	Node	Destination = 1, Nexthop = 1
asn=1477 	id=3   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 3
asn=1477 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=4   	Node	add neighbor id=1 [NODE]
asn=1477 	id=4   	Node	Add_route called from ensure neighbor
asn=1477 	id=4   	TSCH	joined/associated at 14.77 on receiving an EB packet from 1[NODE]
asn=1477 	id=4   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1477 	id=4   	Node	update time source called [NODE]
asn=1477 	id=4   	Main	On new time source method called from NullRouting
asn=1477 	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=4   	Node	Start method called from NullRouting for 4
asn=1477 	id=4   	Node	File Read successfully
asn=1477 	id=4   	Node	File loaded into struct successfully
asn=1477 	id=4   	Node	Reading routes for Node 4
asn=1477 	id=4   	Node	Destination = 1, Nexthop = 1
asn=1477 	id=4   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 4
asn=1477 	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=7   	Node	add neighbor id=1 [NODE]
asn=1477 	id=7   	Node	Add_route called from ensure neighbor
asn=1477 	id=7   	TSCH	joined/associated at 14.77 on receiving an EB packet from 1[NODE]
asn=1477 	id=7   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1477 	id=7   	Node	update time source called [NODE]
asn=1477 	id=7   	Main	On new time source method called from NullRouting
asn=1477 	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=7   	Node	Start method called from NullRouting for 7
asn=1477 	id=7   	Node	File Read successfully
asn=1477 	id=7   	Node	File loaded into struct successfully
asn=1477 	id=7   	Node	Reading routes for Node 7
asn=1477 	id=7   	Node	Destination = 3, Nexthop = 3
asn=1477 	id=7   	Node	Route added to destination node id: 3 through next hop node id: 3 in the routing table of node: 7
asn=1477 	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=7   	Node	Reading routes for Node 7
asn=1477 	id=7   	Node	Destination = 1, Nexthop = 3
asn=1477 	id=7   	Node	Route added to destination node id: 1 through next hop node id: 3 in the routing table of node: 7
asn=1477 	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=9   	Node	add neighbor id=1 [NODE]
asn=1477 	id=9   	Node	Add_route called from ensure neighbor
asn=1477 	id=9   	TSCH	joined/associated at 14.77 on receiving an EB packet from 1[NODE]
asn=1477 	id=9   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1477 	id=9   	Node	update time source called [NODE]
asn=1477 	id=9   	Main	On new time source method called from NullRouting
asn=1477 	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=9   	Node	Start method called from NullRouting for 9
asn=1477 	id=9   	Node	File Read successfully
asn=1477 	id=9   	Node	File loaded into struct successfully
asn=1477 	id=9   	Node	Reading routes for Node 9
asn=1477 	id=9   	Node	Destination = 4, Nexthop = 4
asn=1477 	id=9   	Node	Route added to destination node id: 4 through next hop node id: 4 in the routing table of node: 9
asn=1477 	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=9   	Node	Reading routes for Node 9
asn=1477 	id=9   	Node	Destination = 1, Nexthop = 4
asn=1477 	id=9   	Node	Route added to destination node id: 1 through next hop node id: 4 in the routing table of node: 9
asn=1477 	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1477 	id=1   	Main	On tx method called from NullRouting
asn=1477 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1513 	id=5   	Node	scanning on channel=25...[NODE]
asn=1513 	id=8   	Node	scanning on channel=15...[NODE]
asn=1513 	id=2   	Node	scanning on channel=15...[NODE]
asn=1613 	id=10  	Node	scanning on channel=15...[NODE]
asn=1613 	id=5   	Node	scanning on channel=20...[NODE]
asn=1713 	id=8   	Node	scanning on channel=26...[NODE]
asn=1713 	id=5   	Node	scanning on channel=25...[NODE]
asn=1713 	id=10  	Node	scanning on channel=20...[NODE]
asn=1713 	id=6   	Node	scanning on channel=25...[NODE]
asn=1813 	id=10  	Node	scanning on channel=15...[NODE]
asn=1813 	id=6   	Node	scanning on channel=15...[NODE]
asn=1813 	id=5   	Node	scanning on channel=26...[NODE]
asn=1813 	id=8   	Node	scanning on channel=15...[NODE]
asn=1913 	id=5   	Node	scanning on channel=20...[NODE]
asn=1913 	id=8   	Node	scanning on channel=20...[NODE]
asn=1913 	id=2   	Node	scanning on channel=20...[NODE]
asn=1913 	id=6   	Node	scanning on channel=20...[NODE]
asn=1913 	id=10  	Node	scanning on channel=25...[NODE]
asn=2013 	id=6   	Node	scanning on channel=26...[NODE]
asn=2013 	id=10  	Node	scanning on channel=15...[NODE]
asn=2013 	id=2   	Node	scanning on channel=26...[NODE]
asn=2013 	id=5   	Node	scanning on channel=26...[NODE]
asn=2113 	id=8   	Node	scanning on channel=26...[NODE]
asn=2113 	id=10  	Node	scanning on channel=25...[NODE]
asn=2113 	id=6   	Node	scanning on channel=15...[NODE]
asn=2213 	id=10  	Node	scanning on channel=15...[NODE]
asn=2213 	id=6   	Node	scanning on channel=25...[NODE]
asn=2213 	id=2   	Node	scanning on channel=25...[NODE]
asn=2213 	id=8   	Node	scanning on channel=20...[NODE]
asn=2213 	id=5   	Node	scanning on channel=25...[NODE]
asn=2313 	id=2   	Node	scanning on channel=15...[NODE]
asn=2313 	id=6   	Node	scanning on channel=20...[NODE]
asn=2313 	id=10  	Node	scanning on channel=20...[NODE]
asn=2413 	id=10  	Node	scanning on channel=26...[NODE]
asn=2413 	id=2   	Node	scanning on channel=20...[NODE]
asn=2413 	id=5   	Node	scanning on channel=26...[NODE]
asn=2513 	id=5   	Node	scanning on channel=20...[NODE]
asn=2513 	id=8   	Node	scanning on channel=25...[NODE]
asn=2513 	id=2   	Node	scanning on channel=25...[NODE]
asn=2513 	id=10  	Node	scanning on channel=25...[NODE]
asn=2513 	id=6   	Node	scanning on channel=26...[NODE]
asn=2613 	id=10  	Node	scanning on channel=26...[NODE]
asn=2613 	id=8   	Node	scanning on channel=26...[NODE]
asn=2613 	id=5   	Node	scanning on channel=25...[NODE]
asn=2713 	id=8   	Node	scanning on channel=25...[NODE]
asn=2713 	id=5   	Node	scanning on channel=20...[NODE]
asn=2713 	id=2   	Node	scanning on channel=26...[NODE]
asn=2713 	id=10  	Node	scanning on channel=15...[NODE]
asn=2800 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=10  	Node	add neighbor id=1 [NODE]
asn=2800 	id=10  	Node	Add_route called from ensure neighbor
asn=2800 	id=10  	TSCH	joined/associated at 28 on receiving an EB packet from 1[NODE]
asn=2800 	id=10  	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=2800 	id=10  	Node	update time source called [NODE]
asn=2800 	id=10  	Main	On new time source method called from NullRouting
asn=2800 	id=10  	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=10  	Node	Start method called from NullRouting for 10
asn=2800 	id=10  	Node	File Read successfully
asn=2800 	id=10  	Node	File loaded into struct successfully
asn=2800 	id=10  	Node	Reading routes for Node 10
asn=2800 	id=10  	Node	Destination = 4, Nexthop = 4
asn=2800 	id=10  	Node	Route added to destination node id: 4 through next hop node id: 4 in the routing table of node: 10
asn=2800 	id=10  	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=10  	Node	Reading routes for Node 10
asn=2800 	id=10  	Node	Destination = 1, Nexthop = 4
asn=2800 	id=10  	Node	Route added to destination node id: 1 through next hop node id: 4 in the routing table of node: 10
asn=2800 	id=10  	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2800 	id=1   	Main	On tx method called from NullRouting
asn=2800 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2813 	id=5   	Node	scanning on channel=26...[NODE]
asn=2913 	id=6   	Node	scanning on channel=25...[NODE]
asn=3013 	id=8   	Node	scanning on channel=15...[NODE]
asn=3013 	id=5   	Node	scanning on channel=15...[NODE]
asn=3013 	id=6   	Node	scanning on channel=26...[NODE]
asn=3013 	id=2   	Node	scanning on channel=20...[NODE]
asn=3113 	id=8   	Node	scanning on channel=26...[NODE]
asn=3113 	id=5   	Node	scanning on channel=25...[NODE]
asn=3113 	id=6   	Node	scanning on channel=20...[NODE]
asn=3113 	id=2   	Node	scanning on channel=26...[NODE]
asn=3213 	id=8   	Node	scanning on channel=15...[NODE]
asn=3213 	id=5   	Node	scanning on channel=15...[NODE]
asn=3213 	id=6   	Node	scanning on channel=26...[NODE]
asn=3213 	id=2   	Node	scanning on channel=15...[NODE]
asn=3314 	id=5   	Node	scanning on channel=26...[NODE]
asn=3314 	id=2   	Node	scanning on channel=26...[NODE]
asn=3415 	id=2   	Node	scanning on channel=15...[NODE]
asn=3415 	id=8   	Node	scanning on channel=26...[NODE]
asn=3415 	id=5   	Node	scanning on channel=20...[NODE]
asn=3516 	id=2   	Node	scanning on channel=25...[NODE]
asn=3516 	id=8   	Node	scanning on channel=20...[NODE]
asn=3516 	id=5   	Node	scanning on channel=25...[NODE]
asn=3516 	id=6   	Node	scanning on channel=20...[NODE]
asn=3617 	id=8   	Node	scanning on channel=26...[NODE]
asn=3617 	id=5   	Node	scanning on channel=20...[NODE]
asn=3617 	id=6   	Node	scanning on channel=25...[NODE]
asn=3718 	id=2   	Node	scanning on channel=15...[NODE]
asn=3718 	id=8   	Node	scanning on channel=20...[NODE]
asn=3718 	id=6   	Node	scanning on channel=26...[NODE]
asn=3819 	id=2   	Node	scanning on channel=26...[NODE]
asn=3819 	id=8   	Node	scanning on channel=25...[NODE]
asn=3920 	id=2   	Node	scanning on channel=15...[NODE]
asn=3920 	id=8   	Node	scanning on channel=26...[NODE]
asn=4021 	id=2   	Node	scanning on channel=20...[NODE]
asn=4021 	id=8   	Node	scanning on channel=20...[NODE]
asn=4122 	id=8   	Node	scanning on channel=26...[NODE]
asn=4122 	id=6   	Node	scanning on channel=25...[NODE]
asn=4221 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4221 	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4221 	id=6   	Node	add neighbor id=1 [NODE]
asn=4221 	id=6   	Node	Add_route called from ensure neighbor
asn=4221 	id=6   	TSCH	joined/associated at 42.21 on receiving an EB packet from 1[NODE]
asn=4221 	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=4221 	id=6   	Node	update time source called [NODE]
asn=4221 	id=6   	Main	On new time source method called from NullRouting
asn=4221 	id=6   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4221 	id=6   	Node	Start method called from NullRouting for 6
asn=4221 	id=6   	Node	File Read successfully
asn=4221 	id=6   	Node	File loaded into struct successfully
asn=4221 	id=6   	Node	Reading routes for Node 6
